person_accuracy,group_accuracy_personlevel,group_exact_match_rate,abs_bias_treatment_gap,method,ambiguity,seed
0.2785714285714286,0.32857142857142857,0.11428571428571428,3.6055309867143066,Hungarian person-level,1.5,1500041
0.45714285714285713,0.5,0.5,2.875287761518507,Set-aware group-first,1.5,1500041
0.21428571428571427,0.24285714285714285,0.0,4.251785549858823,Greedy person-level,1.5,1500042
0.2357142857142857,0.2785714285714286,0.07142857142857142,3.791024969347525,Hungarian person-level,1.5,1500042
0.4714285714285714,0.5,0.5,2.7230473851248362,Set-aware group-first,1.5,1500042
0.3,0.3357142857142857,0.1,4.125741649690696,Greedy person-level,1.5,1500043
0.2785714285714286,0.3142857142857143,0.1,4.225809064363986,Hungarian person-level,1.5,1500043
0.5571428571428572,0.5857142857142857,0.5857142857142857,3.410577264135732,Set-aware group-first,1.5,1500043
0.25,0.2714285714285714,0.08571428571428572,3.3120521377213947,Greedy person-level,1.5,1500044
0.3,0.32857142857142857,0.14285714285714285,3.0921192513942586,Hungarian person-level,1.5,1500044
0.4142857142857143,0.44285714285714284,0.44285714285714284,2.6018150685081665,Set-aware group-first,1.5,1500044
0.2714285714285714,0.3,0.05714285714285714,2.5480990732707838,Greedy person-level,1.5,1500045
0.34285714285714286,0.37142857142857144,0.08571428571428572,2.1989916245829377,Hungarian person-level,1.5,1500045
0.7,0.7285714285714285,0.7285714285714285,1.270480778519186,Set-aware group-first,1.5,1500045
0.2,0.22142857142857142,0.08571428571428572,5.200625630066519,Greedy person-level,1.5,1500046
0.29285714285714287,0.3142857142857143,0.12857142857142856,5.05488624290836,Hungarian person-level,1.5,1500046
0.5857142857142857,0.5857142857142857,0.5857142857142857,2.457979959634514,Set-aware group-first,1.5,1500046
0.32142857142857145,0.35,0.11428571428571428,3.5984651282080122,Greedy person-level,1.5,1500047
0.38571428571428573,0.42142857142857143,0.21428571428571427,3.066708758405312,Hungarian person-level,1.5,1500047
0.6428571428571429,0.6857142857142857,0.6857142857142857,1.450384824321219,Set-aware group-first,1.5,1500047
0.25,0.2642857142857143,0.04285714285714286,4.935442558816874,Greedy person-level,1.5,1500048
0.30714285714285716,0.32142857142857145,0.11428571428571428,4.638949234595529,Hungarian person-level,1.5,1500048
0.5857142857142857,0.6142857142857143,0.6142857142857143,2.2935190286215175,Set-aware group-first,1.5,1500048
0.3,0.32142857142857145,0.14285714285714285,4.08290496763032,Greedy person-level,1.5,1500049
0.34285714285714286,0.35,0.18571428571428572,4.045163937235905,Hungarian person-level,1.5,1500049
0.5714285714285714,0.6285714285714286,0.6285714285714286,2.2783506885690343,Set-aware group-first,1.5,1500049
0.24285714285714285,0.2714285714285714,0.04285714285714286,5.076106615459615,Greedy person-level,1.5,1500050
0.2714285714285714,0.3142857142857143,0.11428571428571428,4.613909855173837,Hungarian person-level,1.5,1500050
0.5142857142857142,0.5285714285714286,0.5285714285714286,3.3951634470427265,Set-aware group-first,1.5,1500050
0.3,0.35,0.1,3.7903750250619126,Greedy person-level,1.5,1500051
0.32142857142857145,0.35,0.18571428571428572,4.175231970160695,Hungarian person-level,1.5,1500051
0.6142857142857143,0.6285714285714286,0.6285714285714286,2.300126142956337,Set-aware group-first,1.5,1500051
0.2,0.2357142857142857,0.04285714285714286,4.78910049144163,Greedy person-level,1.5,1500052
0.3,0.35,0.11428571428571428,4.700596066231142,Hungarian person-level,1.5,1500052
0.5285714285714286,0.5571428571428572,0.5571428571428572,1.6216201996432744,Set-aware group-first,1.5,1500052
0.32142857142857145,0.34285714285714286,0.11428571428571428,3.19564239077679,Greedy person-level,1.5,1500053
0.4357142857142857,0.4785714285714286,0.22857142857142856,2.5754693195395006,Hungarian person-level,1.5,1500053
0.5285714285714286,0.5571428571428572,0.5571428571428572,1.5704088740687538,Set-aware group-first,1.5,1500053
