person_accuracy,group_accuracy_personlevel,group_exact_match_rate,abs_bias_treatment_gap,method,ambiguity,seed
0.5071428571428571,0.55,0.2714285714285714,1.8952337459551885,Greedy person-level,0.5,500039
0.6071428571428571,0.6357142857142857,0.4142857142857143,1.7562717657180116,Hungarian person-level,0.5,500039
0.7571428571428571,0.8,0.8,2.159900738951464,Set-aware group-first,0.5,500039
0.4714285714285714,0.5357142857142857,0.3,3.2955514088180067,Greedy person-level,0.5,500040
0.6214285714285714,0.6785714285714286,0.5,1.8633059671133978,Hungarian person-level,0.5,500040
0.7428571428571429,0.7857142857142857,0.7857142857142857,1.3662158897069503,Set-aware group-first,0.5,500040
0.4857142857142857,0.5571428571428572,0.24285714285714285,3.1631140461368545,Greedy person-level,0.5,500041
0.5357142857142857,0.6,0.3142857142857143,2.9838294163864703,Hungarian person-level,0.5,500041
0.7,0.7714285714285715,0.7714285714285715,1.340637552664525,Set-aware group-first,0.5,500041
0.65,0.6857142857142857,0.5142857142857142,1.2948874781513808,Greedy person-level,0.5,500042
0.7357142857142858,0.7642857142857142,0.6,1.479057159332278,Hungarian person-level,0.5,500042
0.7857142857142857,0.8,0.8,1.2633540627843374,Set-aware group-first,0.5,500042
0.55,0.6714285714285714,0.4142857142857143,1.9343204098002076,Greedy person-level,0.5,500043
0.6928571428571428,0.7428571428571429,0.6,1.150469986048904,Hungarian person-level,0.5,500043
0.7857142857142857,0.8571428571428571,0.8571428571428571,0.2926733346149817,Set-aware group-first,0.5,500043
0.5642857142857143,0.6642857142857143,0.44285714285714284,2.617450681705918,Greedy person-level,0.5,500044
0.6785714285714286,0.7071428571428572,0.5571428571428572,1.9064317555357988,Hungarian person-level,0.5,500044
0.8571428571428571,0.8714285714285714,0.8714285714285714,0.4351422845499826,Set-aware group-first,0.5,500044
0.6214285714285714,0.65,0.45714285714285713,2.3187031820046684,Greedy person-level,0.5,500045
0.7142857142857143,0.7214285714285714,0.6,2.0439598998082786,Hungarian person-level,0.5,500045
0.8714285714285714,0.8714285714285714,0.8714285714285714,1.2513323774206384,Set-aware group-first,0.5,500045
0.5857142857142857,0.6357142857142857,0.38571428571428573,2.1423721095109087,Greedy person-level,0.5,500046
0.6714285714285714,0.7142857142857143,0.5142857142857142,1.100212243357575,Hungarian person-level,0.5,500046
0.8428571428571429,0.8857142857142857,0.8857142857142857,0.718943271853604,Set-aware group-first,0.5,500046
0.5785714285714286,0.6857142857142857,0.4714285714285714,2.1629026486559297,Greedy person-level,0.5,500047
0.6285714285714286,0.6785714285714286,0.4857142857142857,2.6216705118293433,Hungarian person-level,0.5,500047
0.8,0.8857142857142857,0.8857142857142857,1.3959063926395672,Set-aware group-first,0.5,500047
0.5428571428571428,0.6428571428571429,0.44285714285714284,3.060137479290674,Greedy person-level,0.5,500048
0.6428571428571429,0.7357142857142858,0.5428571428571428,2.0495900148357364,Hungarian person-level,0.5,500048
0.8,0.8857142857142857,0.8857142857142857,1.437126554699347,Set-aware group-first,0.5,500048
0.45,0.5357142857142857,0.3,1.596493151331046,Greedy person-level,0.5,500049
0.5357142857142857,0.5785714285714286,0.37142857142857144,2.3216481035431755,Hungarian person-level,0.5,500049
0.7428571428571429,0.7857142857142857,0.7857142857142857,2.039783547554201,Set-aware group-first,0.5,500049
0.5,0.5714285714285714,0.34285714285714286,2.44779685707757,Greedy person-level,0.5,500050
0.5928571428571429,0.6357142857142857,0.44285714285714284,2.139746543026291,Hungarian person-level,0.5,500050
0.8285714285714286,0.8571428571428571,0.8571428571428571,0.4260756243089787,Set-aware group-first,0.5,500050
0.5571428571428572,0.6,0.4142857142857143,2.261378642113499,Greedy person-level,0.5,500051
